qDays;pricePerDay;paymentSum
310;4,05;1254.36
311;4,04;1257.34
312;4,04;1260.35
313;4,04;1263.33
314;4,03;1266.34
315;4,03;1269.34
316;4,03;1272.35
317;4,02;1275.35
318;4,02;1278.36
319;4,02;1281.36
320;4,01;1284.39
321;4,01;1287.39
322;4,01;1290.41
323;4,00;1293.44
324;4,00;1296.46
325;4,00;1299.48
326;4,00;1302.53
327;3,99;1305.55
328;3,99;1308.59
329;3,99;1311.61
330;3,98;1312.6
331;3,97;1315.64
332;3,97;1318.67
333;3,97;1321.73
334;3,97;1324.77
335;3,96;1327.82
336;3,96;1330.86
337;3,96;1333.92
338;3,96;1336.97
339;3,95;1340.03
340;3,95;1343.09
341;3,95;1346.16
342;3,95;1349.22
343;3,94;1352.29
344;3,94;1355.37
345;3,94;1358.44
346;3,94;1361.52
347;3,93;1364.59
348;3,93;1367.67
349;3,92;1369.74
350;3,92;1372.81
351;3,91;1373.85
352;3,91;1375.9
353;3,90;1377.95
354;3,90;1382.07
355;3,90;1384.14
356;3,90;1388.26
357;3,89;1390.32
358;3,90;1394.45
359;3,89;1396.5
360;3,89;1399.00
361;3,89;1402.78
362;3,88;1404.6
363;3,87;1406.4
364;3,87;1408.2
365;3,86;1409.98
366;3,86;1411.76
367;3,85;1413.53
368;3,85;1416.5
369;3,85;1419.47
370;3,84;1422.44
371;3,84;1425.4
372;3,84;1428.36
373;3,84;1431.32
374;3,83;1433.03
375;3,83;1434.73
376;3,82;1436.42
377;3,81;1438.11
378;3,81;1439.78
379;3,80;1441.44
380;3,80;1443.1
381;3,79;1444.74
382;3,79;1446.37
383;3,78;1448.00
384;3,78;1450.87
385;3,77;1452.48
386;3,77;1454.08
387;3,76;1455.67
388;3,76;1457.24
389;3,75;1458.81
390;3,74;1460.37
391;3,74;1461.92
392;3,74;1464.74
393;3,73;1467.56
394;3,73;1470.37
395;3,73;1473.18
396;3,73;1475.98
397;3,72;1478.78
398;3,72;1481.57
399;3,72;1484.36
400;3,72;1487.14
401;3,72;1489.92
402;3,71;1491.39
403;3,71;1494.16
404;3,71;1496.92
405;3,70;1499.68
406;3,70;1502.43
407;3,70;1505.18
408;3,70;1507.92
409;3,69;1510.66
410;3,69;1513.39
411;3,69;1514.8
412;3,68;1517.52
413;3,68;1520.24
414;3,68;1522.95
415;3,68;1525.66
416;3,67;1528.36
417;3,67;1531.06
418;3,67;1533.76
419;3,67;1536.45
420;3,66;1539.13
421;3,66;1540.46
422;3,66;1543.13
423;3,65;1545.8
424;3,65;1548.47
425;3,65;1551.13
426;3,65;1553.78
427;3,65;1556.43
428;3,64;1559.08
429;3,64;1561.72
430;3,64;1564.35
431;3,63;1566.58
432;3,63;1569.21
433;3,63;1571.83
434;3,63;1574.44
435;3,63;1577.06
436;3,62;1579.66
437;3,62;1582.27
438;3,62;1584.86
439;3,62;1587.46
440;3,61;1590.05
441;3,61;1592.63
442;3,61;1595.21
443;3,61;1597.78
444;3,60;1600.35
445;3,60;1602.92
446;3,60;1605.48
447;3,60;1608.04
448;3,60;1610.59
449;3,59;1613.14
450;3,59;1615.68
451;3,59;1620.51
452;3,59;1624.04
453;3,59;1628.01
454;3,59;1630.54
455;3,59;1633.06
456;3,59;1635.59
457;3,58;1638.1
458;3,58;1640.61
459;3,58;1643.12
460;3,58;1645.62
461;3,58;1648.12
462;3,57;1650.62
463;3,57;1653.1
464;3,57;1655.59
465;3,57;1658.07
466;3,56;1660.54
467;3,56;1663.01
468;3,56;1665.48
469;3,56;1667.94
470;3,55;1670.39
471;3,55;1672.84
472;3,55;1675.29
473;3,55;1677.73
474;3,54;1680.17
475;3,54;1682.6
476;3,54;1685.03
477;3,54;1687.45
478;3,54;1689.87
479;3,53;1692.29
480;3,53;1694.69
481;3,53;1697.1
482;3,53;1699.5
483;3,52;1701.89
484;3,52;1704.28
485;3,52;1706.67
486;3,52;1709.05
487;3,51;1711.43
488;3,51;1713.8
489;3,51;1716.17
490;3,51;1718.53
491;3,50;1720.88
492;3,50;1723.24
493;3,50;1725.59
494;3,50;1727.93
495;3,50;1730.27
496;3,49;1732.6
497;3,49;1734.93
498;3,49;1737.26
499;3,49;1739.58
500;3,48;1741.89
501;3,48;1744.2
502;3,48;1746.51
503;3,48;1748.81
504;3,47;1751.11
505;3,47;1753.4
506;3,47;1755.69
507;3,47;1757.97
508;3,47;1760.25
509;3,46;1762.52
510;3,46;1764.79
511;3,46;1767.05
512;3,46;1769.31
513;3,45;1771.57
514;3,45;1773.82
515;3,45;1776.06
516;3,45;1778.3
517;3,44;1780.54
518;3,44;1782.77
519;3,44;1784.99
520;3,44;1787.22
521;3,43;1789.43
522;3,43;1791.64
523;3,43;1793.85
524;3,43;1796.06
525;3,43;1798.25
526;3,42;1800.45
527;3,42;1802.64
528;3,42;1804.82
529;3,42;1807.00
530;3,41;1809.17
531;3,41;1811.35
532;3,41;1813.51
533;3,41;1815.67
534;3,40;1817.83
535;3,40;1819.98
536;3,40;1822.13
537;3,40;1824.27
538;3,39;1826.41
539;3,39;1828.54
540;3,39;1832.27
541;3,39;1835.08
542;3,39;1837.2
543;3,39;1839.32
544;3,38;1841.43
545;3,38;1843.54
546;3,38;1845.64
547;3,38;1847.74
548;3,38;1849.83
549;3,37;1851.92
550;3,37;1855.63
551;3,37;1857.72
552;3,37;1859.79
553;3,37;1861.86
554;3,36;1863.93
555;3,36;1865.99
556;3,36;1868.05
557;3,36;1870.1
558;3,36;1872.15
559;3,35;1874.19
560;3,35;1877.88
561;3,35;1879.91
562;3,35;1881.95
563;3,35;1883.97
564;3,34;1885.99
565;3,34;1888.01
566;3,34;1890.02
567;3,34;1892.03
568;3,33;1894.03
569;3,33;1896.03
570;3,33;1899.69
571;3,33;1901.68
572;3,33;1903.67
573;3,33;1905.65
574;3,32;1907.62
575;3,32;1909.59
576;3,32;1911.56
577;3,32;1913.52
578;3,31;1915.48
579;3,31;1917.43
580;3,31;1921.06
581;3,31;1923.01
582;3,31;1924.95
583;3,31;1926.89
584;3,30;1928.82
585;3,30;1930.74
586;3,30;1932.66
587;3,30;1934.58
588;3,29;1936.49
589;3,29;1938.4
590;3,29;1942.00
591;3,29;1943.9
592;3,29;1945.8
593;3,28;1947.69
594;3,28;1949.57
595;3,28;1951.45
596;3,28;1953.33
597;3,28;1955.2
598;3,27;1957.07
599;3,27;1958.93
600;3,27;1962.5
601;3,27;1964.36
602;3,27;1966.21
603;3,26;1968.05
604;3,26;1969.89
605;3,26;1971.73
606;3,26;1973.56
607;3,25;1975.38
608;3,25;1977.21
609;3,25;1979.02
610;3,25;1982.56
611;3,25;1984.37
612;3,25;1986.18
613;3,24;1987.98
614;3,24;1989.77
615;3,24;1991.56
616;3,24;1993.35
617;3,23;1995.13
618;3,23;1996.9
619;3,23;1998.67
620;3,23;2002.19
621;3,23;2003.95
622;3,22;2005.71
623;3,22;2007.46
624;3,22;2009.21
625;3,22;2010.96
626;3,22;2012.69
627;3,21;2014.43
628;3,21;2016.16
629;3,21;2017.89
630;3,21;2021.37
631;3,21;2023.99
632;3,21;2025.7
633;3,20;2027.41
634;3,20;2029.11
635;3,20;2030.81
636;3,20;2032.51
637;3,19;2034.2
638;3,19;2035.88
639;3,19;2037.56
640;3,19;2041.02
641;3,19;2042.69
642;3,18;2044.36
643;3,18;2046.02
644;3,18;2047.68
645;3,18;2049.33
646;3,17;2050.98
647;3,17;2052.62
648;3,17;2054.26
649;3,17;2055.9
650;3,17;2059.32
651;3,17;2060.94
652;3,16;2062.57
653;3,16;2064.18
654;3,16;2065.8
655;3,16;2067.4
656;3,15;2069.01
657;3,15;2070.6
658;3,15;2072.2
659;3,15;2073.79
660;3,15;2077.17
661;3,14;2078.76
662;3,14;2080.33
663;3,14;2081.9
664;3,14;2083.47
665;3,14;2085.03
666;3,13;2086.59
667;3,13;2088.14
